comments,authors,likes,datetimes,sentimen,kategori
HAHAAHHAHAHAHAHHA sial aku tertawa😂😂,son.cosu,0 likes,2023-10-16T10:40:25.000Z,positif,engagement
"Entah kenapa, sukanya pas upload isi yang pertama 🗿 is about thigh?",airinn.cp,2 likes,2023-10-16T09:12:45.000Z,negatif,feedback
"Bocil ketika pake celana gemes,, terus kegedean lagi. awokwokwok,, sena sena ada ada saja kau. 😂😂",rd.eky_darmawan,2 likes,2023-10-16T09:56:28.000Z,positif,engagement
"GYATTTTT, BUAT SENA APA SIHH YG ENGGA COCOK😍🔥🔥",bimbim4201,2 likes,2023-10-16T16:08:30.000Z,positif,engagement
Lutut anime😋,hajaz_doang,2 likes,2023-10-16T14:39:25.000Z,netral,engagement
Lah ini skeleton dari anime mana?,xenophatie37,7 likes,2023-10-16T09:01:22.000Z,netral,pertanyaan
Tergantung yang pakai sih😅,adp1876,2 likes,2023-10-16T13:32:16.000Z,netral,engagement
Ini sih antara celananya yg kegedean atau sena yg kurang gede💀,codename_ender,7 likes,2023-10-16T09:03:45.000Z,negatif,engagement
Wkwkw bocil banget 😂,4r1f_samsul,2 likes,2023-10-18T12:43:37.000Z,positif,engagement
Kegedean dikit gak ngaruh 🗿,youth6y,2 likes,2023-10-16T08:46:08.000Z,positif,engagement
Kebesaran,fachr._,1 like,2023-10-16T08:47:58.000Z,negatif,engagement
Basah🤣,the.rexxi_,1 like,2023-10-16T09:25:30.000Z,netral,engagement
itu karetnya yg ketarik,sltnwhyu,242 likes,2023-10-16T08:30:54.000Z,netral,engagement
adek celana bapak jangan di pake,hutama002,1 like,2023-10-16T09:24:02.000Z,negatif,engagement
Biasa aja sen awkwwk,andrian_wizard98,2 likes,2023-10-16T09:41:07.000Z,positif,engagement
Hahaha kegedean celananya 😂,rama_dhani_igc,5 likes,2023-10-16T08:31:26.000Z,positif,engagement
Soalnya paha yang gambar pertama lebih gede,arsky_2761,11 likes,2023-10-16T08:31:30.000Z,netral,feedback
kegedean anjir wkwkwk,mechann21,3 likes,2023-10-16T08:35:57.000Z,positif,engagement
biar udah gede masi muat,kairiikids,3 likes,2023-10-16T10:30:27.000Z,netral,engagement
Lu kurang gede sen😂,npc2000yagitu,2 likes,2023-10-18T11:24:07.000Z,negatif,engagement
kurus bet tapi mengoda 😋,adit_novem,1 like,2023-10-24T14:23:09.000Z,positif,engagement
@eden_maellkaki sena😋,azri3l12,0 likes,2023-10-16T09:53:15.000Z,netral,engagement
Tetep mulus sen😋😋,azuya.z,0 likes,2023-10-16T09:27:12.000Z,positif,engagement
sabar yaa sen mungkin blom saatnya,schritzz_,2 likes,2023-10-16T08:59:02.000Z,positif,engagement
https://www.facebook.com/groups/259598588435625/permalink/798296071232538/Konteks😅,gwehjyoga,1 like,2023-10-16T14:29:37.000Z,netral,engagement
Imut juga,hitori_yopi,3 likes,2023-10-16T23:00:23.000Z,positif,engagement
Kayaknya orang gak tertarik😢,rohan.aruto,1 like,2023-10-16T09:48:10.000Z,negatif,engagement
kepanjangan wowkwowk,jkibdulh,1 like,2023-10-16T08:57:13.000Z,positif,engagement
"Aku punya agak kecil, itumah gede bet",rreini._,1 like,2023-10-16T08:45:02.000Z,netral,engagement
@rina.chaterina.3,blade_of_despair17,0 likes,2023-10-16T09:34:32.000Z,netral,engagement
thigh nya ga bersinar,farapacoba,2 likes,2023-10-17T07:14:28.000Z,netral,engagement
@rifann_256🗿,basah_tapi_kering,0 likes,2023-10-19T00:57:11.000Z,netral,engagement
Sekarang umur sena 13 yah? Kok kecil babget kaki nya,a_nwdk,1 like,2023-10-16T16:59:06.000Z,netral,pertanyaan
kurang naik dan kurang gede pahanya,im.varkansyah,1 like,2023-10-17T08:40:43.000Z,netral,feedback
Ngga sena.. masih kawaii ❤️,nicaannnn_,6 likes,2023-10-16T08:30:43.000Z,positif,engagement
"Gak pake itu sih, pake celana pendek sipaha aja pada ngelirik anjir, padahal gw kan cwo",aru.your.malesub,0 likes,2023-10-16T13:13:25.000Z,negatif,engagement
@dbe_lxmtidak sesuai ekspektasi,nando.theodore,0 likes,2023-10-16T12:21:07.000Z,negatif,engagement
Kurang pendek sen,mahluk_bernafas20,1 like,2023-10-16T13:01:10.000Z,netral,engagement
😋😋😋😋😋,fadhilazhim_,1 like,2023-10-16T08:32:57.000Z,netral,engagement
Itu celana ukuran xxl?,nobodyy_ay,1 like,2023-10-16T12:09:59.000Z,netral,pertanyaan
Temukan perbedaan😋😁,tinberotaksenku21,1 like,2023-10-16T12:04:22.000Z,netral,engagement
Sebaiknya jangan gegabah☠️,realzz04,1 like,2023-10-16T08:38:43.000Z,positif,feedback
Bjirr,bran_x_dar,0 likes,2023-10-16T09:39:16.000Z,negatif,engagement
harusnya pake ukuran xxl g sih?,_horaii,0 likes,2023-10-16T09:55:42.000Z,netral,feedback
Pengen jilatin😋@paji6953ghz,mbntg_69,1 like,2023-10-16T11:18:52.000Z,netral,engagement
Bocah SD ya ?,robith_200,1 like,2023-10-16T11:10:41.000Z,negatif,pertanyaan
coba pake sot sen mungkin lebih menarik,tam.funn,1 like,2023-10-16T10:57:32.000Z,positif,feedback
Tidak sesuai realita 😅,aeleaders,1 like,2023-10-16T10:53:08.000Z,negatif,engagement
keliatan pendek kali sena awkakwk,yoviefnddd,1 like,2023-10-16T09:02:30.000Z,positif,engagement
"""saya sudah berusaha sebisa mungkin""",elbannahaidar_,2 likes,2023-10-16T09:22:18.000Z,netral,engagement
Masih dalam masa pertumbuhan apa salahnya menunggu yekan,gay_ki0,3 likes,2023-10-16T09:00:43.000Z,netral,engagement
Wkwk rada lain,not.ayaaaa,2 likes,2023-10-16T09:43:23.000Z,netral,engagement
Waduhhhh,husein_mxynx,1 like,2023-10-16T10:18:37.000Z,negatif,engagement
Izin save buat referensi 🙏🏻,vikram_25114,1 like,2023-10-16T10:18:17.000Z,netral,engagement
Ranting❤️😍🥰🤭😇🌹💖😱😵🥶💀🗿,edobo.le,1 like,2023-10-16T10:15:00.000Z,netral,engagement
Sabar ya kak😂😂😂,knyairu._,1 like,2023-10-16T09:52:40.000Z,positif,engagement
ITU KEGEDEAN SENAAAAAAA,sukamenkreppp,1 like,2023-10-16T09:51:30.000Z,negatif,engagement
Buset tulang doang 🗿,fery619,2 likes,2023-10-16T09:23:01.000Z,netral,engagement
wahh paha 🔥,yahtsu_sama,1 like,2023-10-16T08:47:58.000Z,netral,engagement
Kuyush,ikhsan_alby,1 like,2023-10-16T09:18:07.000Z,netral,engagement
Cari ukuran super small,akihiko_kyb,1 like,2023-10-16T08:59:09.000Z,netral,engagement
Makan Sen,geraldgolann,1 like,2023-10-16T09:00:06.000Z,netral,engagement
Makan sen wkwk,paldipituber,1 like,2023-10-16T09:02:14.000Z,netral,engagement
Dek Dek,moe_shinda,1 like,2023-10-16T09:02:56.000Z,netral,engagement
Ngk leg day sen ?,raihan_rhmat,1 like,2023-10-16T08:30:59.000Z,netral,pertanyaan
"@nekoyamasenahaiyaaaa lu olang ada ada aja lhoo, lu olang masih sakit? Oe kangen laa haiaaa",eruma_kyoko,2 likes,2023-10-16T08:45:18.000Z,positif,pertanyaan
Sangat menarik sekali bukan.?? 😂😂,mas_bay____,2 likes,2023-10-16T08:30:32.000Z,netral,pertanyaan
😋,honchzard,0 likes,2023-10-16T08:47:05.000Z,netral,engagement
khabarmu gimana sen buat masa sekarang? 🥺,hx._.xhmi,0 likes,2023-10-16T08:47:09.000Z,positif,pertanyaan
Pake nanya,nanachinaru,0 likes,2023-10-16T08:47:11.000Z,netral,engagement
Wangy😍,bochan_2.0,0 likes,2023-10-16T08:47:21.000Z,netral,engagement
Kurang ngepress sen,geogeo.sbrn,0 likes,2023-10-16T08:47:26.000Z,netral,feedback
Udah menggoda kok,akurivalga,0 likes,2023-10-16T08:47:43.000Z,netral,engagement
Harus gede sen,rafiridwanv,0 likes,2023-10-16T08:48:29.000Z,netral,feedback
Cocok klo ketat ukuran m,bayunugraha_1002,0 likes,2023-10-16T08:48:30.000Z,netral,engagement
Bahkan ukuran xs msh terlihat xl di sena,rtitan.a,0 likes,2023-10-16T08:48:39.000Z,netral,engagement
Itu ukuran s masih kegedean sen?,frlapt.__,0 likes,2023-10-16T08:48:51.000Z,netral,pertanyaan
Walah..😅,diewmaulana,0 likes,2023-10-16T08:48:56.000Z,negatif,engagement
Udelnya mana sen?@nekoyamasena,kuroe_mlbb,0 likes,2023-10-16T08:49:00.000Z,netral,pertanyaan
Harus di kecilin lagi itu😂,ryuga_tadashi,0 likes,2023-10-16T08:49:20.000Z,netral,feedback
LEEEETTTSSSS GOOOOWWW !!!,sora_sozakari,0 likes,2023-10-16T08:50:04.000Z,positif,engagement
Malah jdi kolor wkwkwk,aywd243,0 likes,2023-10-16T08:50:56.000Z,positif,engagement
Wewedeewa,kizuna.ps,0 likes,2023-10-16T08:51:10.000Z,netral,engagement
keknya cara kerjanya gak gitu 🙃,estehgorengrebus,0 likes,2023-10-16T08:51:25.000Z,netral,feedback
Kurang Makan Sen,mr.ghoul0_8,0 likes,2023-10-16T08:52:02.000Z,netral,engagement
"Gag sesuai ekspektasi, lebih riill yang 2D daripada yg aslinya 😂😂",ishik_kawa,0 likes,2023-10-16T08:52:13.000Z,positif,engagement
Itu sen apa itunya celananya kurang kecil hehe,mxvsy_kh,0 likes,2023-10-16T08:52:55.000Z,netral,engagement
Lu kira gwe mikir,iqbawell,0 likes,2023-10-16T08:53:09.000Z,negatif,engagement
Pahanya wangy wangy huha 👀🔥,aoi_syafiqi,0 likes,2023-10-16T08:53:23.000Z,netral,engagement
Kata mamah biar bisa buat tahun depan,bebek_.kun.exe,0 likes,2023-10-16T08:53:57.000Z,netral,engagement
Ap cb😂,aito_haku,0 likes,2023-10-16T08:54:14.000Z,netral,pertanyaan
Kak sena salah ukuran 😂❤️,violyn_cheshire.qwq,0 likes,2023-10-16T08:54:56.000Z,netral,feedback
Cari yg ukurannya dibawah S Sen,7_febr_10,0 likes,2023-10-16T08:55:52.000Z,netral,feedback
Ekspetasi vs Realita,dapsoul_,0 likes,2023-10-16T08:56:13.000Z,netral,engagement
Salah celananya itu kegedean,inmymeme_,0 likes,2023-10-16T08:56:20.000Z,netral,feedback
yang sabar ya 🤣🤣🤣,hanif_naufal27,0 likes,2023-10-16T08:56:24.000Z,netral,engagement
bisa dipake sampe umur 25 itu sen,sattt.ria,0 likes,2023-10-16T08:56:33.000Z,netral,feedback
Awowkwkwk😭😭 oversize,excellent_ar,0 likes,2023-10-16T08:56:55.000Z,positif,engagement
"Menarik perhatian karna menunjukan paha & seperti pake celana dalam (menurut gw pribadi), tetapi tidak di sarankan untuk di pake kucing, malah serasa pake sarung😂",benkkk08,0 likes,2023-10-16T08:56:57.000Z,positif,feedback
malah jadi boxer 🤣,yo.jinji4u,0 likes,2023-10-16T08:56:59.000Z,negatif,engagement
Bukan untuk anak kecil,thisised____,0 likes,2023-10-16T08:57:28.000Z,netral,feedback
Kayak pake boxer cwo,pannaaee,0 likes,2023-10-16T08:57:38.000Z,netral,engagement
kamu kan kicik :v,invidia_48,0 likes,2023-10-16T08:58:05.000Z,netral,engagement
Iii minii,rendy_r.s1,0 likes,2023-10-16T08:58:19.000Z,positif,engagement
Kayak mau ke warnet,raffafebrian,0 likes,2023-10-16T08:58:46.000Z,netral,engagement
Izin save ya senaa🗿🙏,4ndre_skr,0 likes,2023-10-16T09:01:11.000Z,positif,engagement
Pffttt.. 😂😂,ranggadanujacoub,0 likes,2023-10-16T09:02:12.000Z,positif,engagement
Keliatan kecil nya sen,buburgoreng_ayam,0 likes,2023-10-16T09:03:40.000Z,netral,engagement
WKAKWKWW but u still a 10 sena,maxxjuna,0 likes,2023-10-16T09:04:42.000Z,positif,engagement
Kek pake boxer😂,harisu.asw,0 likes,2023-10-16T09:04:57.000Z,negatif,engagement
Itu celananya dah ukuran paling kecil ya🗿,iamnotaweab00,0 likes,2023-10-16T09:05:47.000Z,netral,pertanyaan
Itu mah pakaian orang gede sen kamu masih kecil😂,zura_rdnsyh,0 likes,2023-10-16T09:06:20.000Z,positif,engagement
Wkwkwkwkwkw keselek gw anj,ba1uqiam,0 likes,2023-10-16T09:06:39.000Z,positif,engagement
kek seragam olahraga Bocil SD wkwkkw,flavouredbear,0 likes,2023-10-16T09:06:49.000Z,positif,engagement
"salah ukuran Sen, itu oversize dikit ngk ngarus :v",ranzatsu.asw,0 likes,2023-10-16T09:06:52.000Z,positif,feedback
😂😂,apipudinmahdi,0 likes,2023-10-16T09:07:02.000Z,netral,engagement
kepanjangan 😭😭,nanayyykvvv__,0 likes,2023-10-16T09:07:51.000Z,netral,feedback
Oversize atau anu..... Ooo iya celana nya melar 🙂,adiirawan7171,0 likes,2023-10-16T09:07:53.000Z,positif,engagement
Karna elo itu anak kecil😂,minervajoe,0 likes,2023-10-16T09:09:28.000Z,negatif,engagement
Celana gemas jadi tidak gemas 😢,om.bear,0 likes,2023-10-16T09:09:38.000Z,negatif,engagement
Mulus banget🗿,yagami__ludex,0 likes,2023-10-16T09:09:46.000Z,netral,engagement
Tidak sesuai dengan di gambar pertama 🤣🤣 tapi lucu cuma slide ke 2 🤭👍,ekanati0n,0 likes,2023-10-16T09:11:22.000Z,positif,engagement
Lanang 💀💀,bangotot_gl,0 likes,2023-10-16T09:11:42.000Z,netral,engagement
B aj😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,rezaarizky99,0 likes,2023-10-16T09:11:56.000Z,negatif,engagement
Kirain kaki cowo bjir🗿,fashtzx,0 likes,2023-10-16T09:12:02.000Z,netral,engagement
"kunti bogel mamang, mini betol",totti_ardi,0 likes,2023-10-16T09:12:29.000Z,negatif,engagement
"Pakai yang lebih kecil🙌,",siti_rapunzel,0 likes,2023-10-16T09:13:52.000Z,positif,feedback
Perutnya mana bg,kazuuotorii,0 likes,2023-10-16T09:14:11.000Z,netral,pertanyaan
Keliatan krempeng,helbob_,0 likes,2023-10-16T09:14:32.000Z,netral,engagement
Makasih ya aku udah lega😅,ismailsaputra09,0 likes,2023-10-16T09:14:40.000Z,netral,engagement
😂😂😂,onibaebae,0 likes,2023-10-16T09:15:52.000Z,netral,engagement
Imut banget si sen,zyann.27,0 likes,2023-10-16T09:16:19.000Z,positif,engagement
Very very kulus wkwkwkw,felix_tjuatja,0 likes,2023-10-16T09:17:23.000Z,positif,engagement
itu celana buat anak dewasa bukan buat anak kecil Xixixixi,shozoharuka,0 likes,2023-10-16T09:17:28.000Z,positif,feedback
Bolehhhh,kyluun,0 likes,2023-10-16T09:17:40.000Z,positif,engagement
Bahkan ukuran XS kebesaran,mmppsshh_,0 likes,2023-10-16T09:17:48.000Z,negatif,engagement
"njirrr pahaa seorang anak kecil, untung w bukan pedopil",al_ldyyy,0 likes,2023-10-16T09:18:05.000Z,netral,engagement
Nyeh~~,shiro_shiroee,0 likes,2023-10-16T09:18:42.000Z,negatif,engagement
LUCUU,yuch.ell,0 likes,2023-10-16T09:19:12.000Z,positif,engagement
Njer makanya sen makannya rutin olahraga juga biar ga sakit pulaa,chocotette_,0 likes,2023-10-16T09:19:30.000Z,positif,feedback
celana ga gemes,toodrunktofuxk,0 likes,2023-10-16T09:19:33.000Z,negatif,feedback
Ukuran s harusnya,iya_gw_krisna,0 likes,2023-10-16T09:19:59.000Z,negatif,feedback
Santai sena kadang berbeda itu bagus,yakalau_bisa,0 likes,2023-10-16T09:20:53.000Z,positif,engagement
"Tep-, maksudnya Well Played",irvan_m_n,0 likes,2023-10-16T09:21:08.000Z,netral,engagement
"maaf sen, kamu beli yang oversize ya??",nfebrian97,0 likes,2023-10-16T09:23:06.000Z,netral,pertanyaan
Gpp gw tawu prasaan lo sen 😂😂,allwi_im,0 likes,2023-10-16T09:23:13.000Z,positif,engagement
Cari ukuran anak-anak,lord_wennn,0 likes,2023-10-16T09:23:45.000Z,netral,feedback
Kurang sen,billylamara,0 likes,2023-10-16T09:23:48.000Z,negatif,feedback
"Kalau enggak liat nama akunya, kukira kaki cowok anak singkong, maaf",beningproject,0 likes,2023-10-16T09:23:52.000Z,netral,feedback
mirip celana penjaskes kalo lu yang pakek sen,pokemondifferent,0 likes,2023-10-16T09:24:18.000Z,netral,engagement
"Wowwwwwwwww, aku mw bangett😋😋😋😋😋😋",the.rexxi_,0 likes,2023-10-16T09:24:49.000Z,positif,engagement
Infokan saus art slide 1,lmaoo_deeznut,0 likes,2023-10-16T09:25:05.000Z,netral,engagement
🗿 awokkawok,markuzak,0 likes,2023-10-16T09:25:07.000Z,positif,engagement
Beda jauh😮,riyadhsat_,0 likes,2023-10-16T09:25:42.000Z,negatif,engagement
"tergantung, kalau main di sekitar rumah biasanya sih nggak ada tapi kalau untuk jalan² itu biasanya sih ada yg liat dan cuek gitu",rabbit_tank_03,0 likes,2023-10-16T09:25:44.000Z,netral,engagement
Menurutku tergantung paha si sen,ataya_nw,0 likes,2023-10-16T09:25:54.000Z,netral,feedback
Kurang gede kata mak gw,scchoz,0 likes,2023-10-16T09:25:59.000Z,netral,feedback
Kyk Lanang kakinya sena,xsojiro_izngkunx,0 likes,2023-10-16T09:26:24.000Z,netral,engagement
Salfok sma raket nyamuk,jeruukrasa.latte,0 likes,2023-10-16T09:26:37.000Z,netral,engagement
beli jangan yg ukuran XL makan nya😂,tetra_h.h013,0 likes,2023-10-16T09:26:39.000Z,netral,feedback
Jadi Kolor biasa 😂,hanungswargono,0 likes,2023-10-16T09:28:35.000Z,netral,engagement
Anda kan loli,ms.678_the_official02,0 likes,2023-10-16T09:30:49.000Z,negatif,engagement
Celana gua 😒,justmepra_,0 likes,2023-10-16T09:31:11.000Z,netral,engagement
Kalo anak kecil mah biasa aja sen,f2rbatra,0 likes,2023-10-16T09:31:18.000Z,netral,engagement
"Makanya sen, tumbuh itu keatas bukan kesamping🤣",sei_kun0_0,0 likes,2023-10-16T09:32:34.000Z,netral,engagement
Kegedean syg,novasakazaki,0 likes,2023-10-16T09:33:32.000Z,netral,feedback
Coba celana nya dibuka pasti rame 😋,arrdi.b4rbeque,0 likes,2023-10-16T09:33:38.000Z,netral,engagement
Udh kya mke kolor bapa,addictturuu,0 likes,2023-10-16T09:33:48.000Z,netral,engagement
Kegedean celananya 🗿,wsn_ae,0 likes,2023-10-16T09:33:53.000Z,negatif,engagement
Kurang ketat tunggu aja itu nanti jadi ketat umur 40-50 tahun lagi baru menarik perhatian,helbob_,0 likes,2023-10-16T09:34:02.000Z,negatif,feedback
"Yah di luar ekspektasi sen. Tapi gpp, mungkin belum saatnya🗿",wahyudialwi38,0 likes,2023-10-16T09:34:14.000Z,negatif,engagement
belom cukup umur artinya,alifhouten,0 likes,2023-10-16T09:34:55.000Z,netral,engagement
Makanya cari yg ukuran XXS,dq_zhakaria,0 likes,2023-10-16T09:35:14.000Z,netral,feedback
Triplek x itu kyk nya,mantu_ne_ibuk_mu,0 likes,2023-10-16T09:35:51.000Z,netral,engagement
😂,nofriyudha_p,0 likes,2023-10-16T09:36:25.000Z,netral,engagement
"gak usah berharap banyak, lu kecil itu aja",thirks.t,0 likes,2023-10-16T09:36:51.000Z,negatif,engagement
Di anime tidak begitu,mr_amarulloh,0 likes,2023-10-16T09:37:49.000Z,netral,engagement
kekecilan badan moments,shir0vl,0 likes,2023-10-16T09:38:12.000Z,positif,engagement
Soal nya imut sekali 🤏🏻 sena bogel kemasan sachet kaki nya mini bngt,hihang_hoheng145,0 likes,2023-10-16T09:38:20.000Z,netral,engagement
Kolor om kratos dipake sena 🗿,declash_id,0 likes,2023-10-16T09:38:34.000Z,netral,engagement
sena salah beli,rbcospurei,0 likes,2023-10-16T09:44:11.000Z,netral,engagement
"kata gua mah,kiw kiww :3",sirr_yoe,0 likes,2023-10-16T09:44:30.000Z,netral,engagement
Kyk boxer,kurrooooooo._,0 likes,2023-10-16T09:45:08.000Z,netral,engagement
Waduhhhh,oemaru_,0 likes,2023-10-16T09:45:10.000Z,negatif,engagement
Tergantung ukuran paha nya itu sen,gazz_app5,0 likes,2023-10-16T09:45:21.000Z,netral,engagement
Paha lu kurang gede,r_i_o__28,0 likes,2023-10-16T09:45:22.000Z,netral,feedback
....,radityasahal,0 likes,2023-10-16T09:46:15.000Z,netral,engagement
Malah kayak sena pake celana bapak-bapak..,fajeri.id,0 likes,2023-10-16T09:47:19.000Z,negatif,engagement
Olahraga sen,zakyy_not_pino,0 likes,2023-10-16T09:48:09.000Z,netral,engagement
Mamah aku mw Sena😋😋,zynnxcc,0 likes,2023-10-16T09:50:18.000Z,positif,engagement
Bejir Sena,ei31308,0 likes,2023-10-16T09:50:31.000Z,netral,engagement
Tapi aku tetep tertarik😋,jutoo17,0 likes,2023-10-16T09:51:15.000Z,positif,engagement
"beli ukuran anak"" aj😁",aponalk_,0 likes,2023-10-16T09:52:25.000Z,positif,feedback
gak ada bagus² nya awokwkwk,waahyufjr,0 likes,2023-10-16T09:53:33.000Z,positif,engagement
BRRRRUUUUHHHHHH❤️❤️❤️❤️,arifrachmn__,0 likes,2023-10-16T09:53:47.000Z,negatif,engagement
kegedean kocak😭,waahyufjr,0 likes,2023-10-16T09:53:53.000Z,positif,engagement
Wkwkkkwkwkwkw GAGAL SEXY,hell_its_mii,0 likes,2023-10-16T09:54:01.000Z,positif,engagement
Mana liat,gabrieladzandra,0 likes,2023-10-16T09:54:02.000Z,negatif,pertanyaan
oversize biar awet bertahun-tahun,oowaann,0 likes,2023-10-16T09:54:11.000Z,netral,engagement
Sena Sena spil rambut nya Sena .,arilzahril929,0 likes,2023-10-16T09:54:21.000Z,netral,engagement
Buset tulang ama kentut doank,nopallinoe__,0 likes,2023-10-16T09:54:33.000Z,negatif,engagement
Kegedean dikit ga ngaruh biar awet sampe kuliah,almas.nh_,0 likes,2023-10-16T09:54:38.000Z,positif,engagement
Karung manaa karung,omman_syah,0 likes,2023-10-16T09:54:42.000Z,netral,engagement
Perbanyak latihan otot kaki,ex_pitok46,0 likes,2023-10-16T09:54:57.000Z,netral,feedback
Kurang gemoy,kingjordan060401,0 likes,2023-10-16T09:55:16.000Z,negatif,feedback
XXS harusnya,fakhri_hide,0 likes,2023-10-16T09:55:48.000Z,netral,feedback
"Size nya kecilin dikit, kalo udah paling kecil ga muat, gedein badannya XD",handoko.raffli,0 likes,2023-10-16T09:56:13.000Z,netral,feedback
"Nga salah , gua aja lakik suka banget lihat celana kek gitu. Serasa comfy kalo dipake ringan pula",ramadhan_xhad,0 likes,2023-10-16T09:57:56.000Z,positif,engagement
kecik nye,anggajheee,0 likes,2023-10-16T09:58:21.000Z,netral,engagement
"Bisa gitu yahhh, itu celana awet 5 tahun kedepan deh keknya😂",k_difaly,0 likes,2023-10-16T09:58:25.000Z,positif,engagement
Wkwk sabar,yogiritakatou787,0 likes,2023-10-16T09:58:39.000Z,positif,engagement
SenLol sena cebol,febriartz,0 likes,2023-10-16T09:58:40.000Z,netral,engagement
Kek celana training olahraga anak tk sen,donquixoteclaire,0 likes,2023-10-16T09:59:44.000Z,netral,engagement
Itu kegedean sen,aansakithati_77,0 likes,2023-10-16T10:00:19.000Z,netral,engagement
Kurus seperti ranting kayu 🗿,saefullah717,0 likes,2023-10-16T10:00:49.000Z,netral,engagement
Malah jadi celana basket 😂,tamrinschannel,0 likes,2023-10-16T10:02:36.000Z,negatif,engagement
Biar awet itu 🗿,yssa0ura.vy,0 likes,2023-10-16T10:02:42.000Z,netral,engagement
Nooo sena jangan buat ovt,arsky_2761,31 likes,2023-10-10T09:45:39.000Z,negatif,engagement
Aku mencium bau tidak enak😢,lord_wennn,185 likes,2023-10-10T08:25:55.000Z,negatif,engagement
Nikah sama om kratos kah?,ravensryo,88 likes,2023-10-10T08:53:18.000Z,netral,pertanyaan
Dilihat dari artnya agak buat khawatir nih...,kareizz,222 likes,2023-10-10T08:48:35.000Z,negatif,engagement
"For God sake,aku punya firasat buruk tentang ini",revan_kanata_,96 likes,2023-10-10T08:44:12.000Z,negatif,engagement
Apakah mau audisi gen 12 sen?,fiedoriezqy_km,35 likes,2023-10-10T08:41:23.000Z,netral,pertanyaan
"SEN,SEN FOTO LAIN KAN BISA SEN.KOK FOTO INI GAK ENAK BANGET",arifrachmn__,7 likes,2023-10-10T09:38:07.000Z,negatif,feedback
Graduate? 😢,christopher.co.id,2 likes,2023-10-10T08:49:09.000Z,negatif,pertanyaan
graduate?,ndhfsym_,1 like,2023-10-10T10:14:33.000Z,negatif,pertanyaan
Jan bikin dag dig dug sen 😰,bochan_2.0,3 likes,2023-10-10T08:31:09.000Z,negatif,engagement
JANGAN LAHH AKU BARU BELI COSRUME MU,senasukamilo,2 likes,2023-10-10T08:48:22.000Z,negatif,engagement
Grad kah,afriel.444,1 like,2023-10-10T10:10:46.000Z,negatif,pertanyaan
❤️,alfikurniawan01,1 like,2023-10-10T22:37:00.000Z,netral,engagement
Aduh ada hawa hawa yang...,arya_haruki,1 like,2023-10-10T10:51:10.000Z,negatif,engagement
Anjir cepet amat 😢,pannaaee,1 like,2023-10-10T09:44:03.000Z,negatif,engagement
Noooo,rivannsormin,1 like,2023-10-10T09:32:06.000Z,negatif,engagement
"waduh sen,gak mau lah",eiqbal_0825,12 likes,2023-10-10T08:33:25.000Z,negatif,engagement
graduate?? 😢,12rxpn,1 like,2023-10-10T08:44:40.000Z,negatif,pertanyaan
SENAA??!,senjara4u_,6 likes,2023-10-10T08:31:43.000Z,netral,engagement
"Aroma""graduate??",subaru.ch_,2 likes,2023-10-10T08:44:16.000Z,negatif,pertanyaan
Kebiasaan kucing pink yang satu ini suka hiatus,ryuga_ryoma,1 like,2023-10-10T13:06:10.000Z,negatif,engagement
noweyyy😢,biyuu144p____,1 like,2023-10-10T08:27:57.000Z,negatif,engagement
Wduh ngab,____izme,1 like,2023-10-10T08:27:23.000Z,negatif,engagement
Mau grad?,thatpool29,1 like,2023-10-10T08:42:43.000Z,negatif,pertanyaan
sen?,doruraa,1 like,2023-10-10T12:13:19.000Z,netral,engagement
😢😢😢😢😢,bluruuu,1 like,2023-10-10T10:54:57.000Z,netral,engagement
Perasaan gw ga enak,suzukovalskia,3 likes,2023-10-10T11:29:18.000Z,negatif,engagement
apakah...,ini.jero,9 likes,2023-10-10T08:25:39.000Z,netral,engagement
Wahhhh perasaan ku tdk enk😢,nottcaxxy,18 likes,2023-10-10T09:34:18.000Z,negatif,engagement
SEN WOY LAH GW GAK TENANG INI SEN,bryna._cosu,1 like,2023-10-10T09:33:21.000Z,negatif,engagement
Tampang mencurigakan,awang_art,1 like,2023-10-10T12:20:17.000Z,netral,engagement
🤨,erik_afdelfed,0 likes,2023-10-10T08:28:23.000Z,netral,engagement
Sen jangan ngagetin gitu🥲,koootoshidayo,0 likes,2023-10-10T08:29:07.000Z,negatif,engagement
"waduh, perasaanku tidak enak..",ohmyclewo,0 likes,2023-10-10T08:29:25.000Z,negatif,engagement
Wadooo,deltaindiamikealphasierra,0 likes,2023-10-10T08:29:29.000Z,negatif,engagement
HEEEE,ichiji.hanifu,0 likes,2023-10-10T08:32:32.000Z,netral,engagement
Wadduhhh,anothermebro,0 likes,2023-10-10T08:32:49.000Z,negatif,engagement
Curiga,yukina_vtube,0 likes,2023-10-10T08:34:11.000Z,negatif,engagement
Senaaaa :(,fathur.ryhn_,0 likes,2023-10-10T08:35:21.000Z,netral,engagement
Waduh,k4zuma.exe,0 likes,2023-10-10T08:37:17.000Z,negatif,engagement
Sena face ripiu 🤯🤯🤯,almightyhan._,0 likes,2023-10-10T08:38:08.000Z,netral,engagement
linknya raiso diklik jum,evantakeshi,0 likes,2023-10-10T08:38:48.000Z,negatif,feedback
sen jangan 😢,tutel.naufal,0 likes,2023-10-10T08:39:13.000Z,negatif,engagement
