comments,sentimen,kategori
Konteks dong kenapa sena hiatus? Belum liat livenya semalam,Netral,Pertanyaan
"Sen ini postingan ke 666 nya sena kah?",Netral,Pertanyaan
INI KUNTI JOIN AGENSI KAH,Netral,Pertanyaan
Bang kamu bisa kayang ga?,Netral,Pertanyaan
Sena bukan yaa 😂,Netral,Pertanyaan
Itu videonya durasinya berapa lama ya?,Netral,Pertanyaan
apa cuma gw yg tiap pagi dengerin lagu ini?,Netral,Pertanyaan
Dari terong jadi pisang?,Netral,Pertanyaan
Apakah ini mbak tia?,Netral,Pertanyaan
couple ama alhaitam gk nih baju bang?,Netral,Pertanyaan
Gak ada yang cowok kah?,Netral,Pertanyaan
Apa? kamu bilang adik? Aku mau 5😁,Netral,Pertanyaan
Kapan ya bisa liat Sena gondal gandul?,Netral,Pertanyaan
Laki laki bisa gak admin?,Netral,Pertanyaan
Gimana caranya jadi anime kaya Sena?.,Netral,Pertanyaan
"Bentar dulu sepertinya kenal ini gambar, tapi lihat dimana ya? 🤔🗿",Netral,Pertanyaan
Info belinya dimana,Netral,Pertanyaan
Sena bisa beli pulau nggak sama ngambil uang rakyat?,Netral,Pertanyaan
Itu coklat coklat apaan 🤔,Netral,Pertanyaan
Sena kapan main realty nya??,Netral,Pertanyaan
Versi chibi ada kah?,Netral,Pertanyaan
"Yang edisi bantal sama guling gak ada ya gak bisa di peluk🙈",Netral,Pertanyaan
Gak asing nih anime tapi kok mirip aplikasi yang aku punya ya? 🗿👏🏻,Netral,Pertanyaan
Mukanya blushing kenapa tuch,Netral,Pertanyaan
Yang ngejual kucing kaya gini dimana ya?,Netral,Pertanyaan
Pakai gitar mainnya?,Netral,Pertanyaan
Garit kah?,Netral,Pertanyaan
Mau liat aku yang pake ga?sexy loh,Netral,Pertanyaan
Lah ini skeleton dari anime mana?,Netral,Pertanyaan
Sekarang umur sena 13 yah? Kok kecil banget kaki nya,Netral,Pertanyaan
Itu celana ukuran xxl?,Netral,Pertanyaan
Dimana cabul nya?,Netral,Pertanyaan
apakah terong mulai berevolusi?,Netral,Pertanyaan
Kak sena suka diri sendiri gk aku tanya dikit ya tidak apa-apa kan,Netral,Pertanyaan
Udelnya mana sen? @nekoyamasena,Netral,Pertanyaan
Loh kakak youtuber baru ya,Netral,Pertanyaan
Itu celananya dah ukuran paling kecil ya🗿,Netral,Pertanyaan
Perutnya mana bang,Netral,Pertanyaan
"maaf sen kamu beli yang oversize ya??",Netral,Pertanyaan
Kak itu nanyi suara kakak yang asli atau pake apikasi?,Netral,Pertanyaan
Apakah mau audisi gen 12 sen?,Netral,Pertanyaan
sena? cuma perayaan biasa kan? iya kan sena?,Netral,Pertanyaan
siapa yang nonton karena thumbnail,Netral,Pertanyaan
Ada apa sena? Hmm mending aku tonton dulu deh,Netral,Pertanyaan
Terong punya kuku? Mutasi kah?,Netral,Pertanyaan
Anda nafsu sama ekor tupai?,Netral,Pertanyaan
Kupingnya ngebug woi yang fungsi yang mana?,Netral,Pertanyaan
aku mau pegang itu boleh gak chi??,Netral,Pertanyaan
"Kuku ya udah bagus,jadi udah mandi chi?",Netral,Pertanyaan
Kok jarinya ada 5? 😯,Netral,Pertanyaan
Anjir itu apaan ci yang nyelip nyelip di dalam kuku kuning?,Netral,Pertanyaan
kuku jari tengah kok pendek sendiri ci?,Netral,Pertanyaan
"Kukunya laki jari nya perempuan, apakah itu?",Netral,Pertanyaan
Memukul anak kucing ditangkap polisi ato KPAI?,Netral,Pertanyaan
Emang terong ada jarinya ? 👀,Netral,Pertanyaan
Tangan siapa itu chi?,Netral,Pertanyaan
apakah eci sudah mandi belom?,Netral,Pertanyaan
tangan kanannya gimana?,Netral,Pertanyaan
Apakah ini tangan yang belum mandi,Netral,Pertanyaan
Kak mau gabung jadi team kakak tapi kalo gabung itu bayar ya?,Netral,Pertanyaan
Durasi video nya emang 3 jam ya?,Netral,Pertanyaan
Adopsi kucing jenis virtual gini dimana bang?,Netral,Pertanyaan
Kalian sudah berapa lama di sini? aku sudah dari awal debut kok,Netral,Pertanyaan
sen kalo berak pake pasir merek apa ?,Netral,Pertanyaan
emang boleh ya se halusinasi seperti ini,Netral,Pertanyaan
Sen kamu nggak ikut pindah rumah sama Mas Garit?,Netral,Pertanyaan
Mau kamu di kecup mbak mbak gendut?,Netral,Pertanyaan
Apakah internet sudah menjadi 4G+?,Netral,Pertanyaan
Oi ayunda apakah masih hdup?,Netral,Pertanyaan
chii besok aku ultah gak mau kamu ucapin gitu?,Netral,Pertanyaan
Mau tidak jadi adik ku? tolong Jawab komen ini Sena sena chan,Netral,Pertanyaan
Apakah dengan mengirimkan ini ke bang al apakah dia mau berolahraga,Netral,Pertanyaan
Ini pasti streamer yg suka tidur itu ya?,Netral,Pertanyaan
Admin ada rundown nya gak admin?,Netral,Pertanyaan
Untuk umum kah ini guys?,Netral,Pertanyaan
gyutto versi aman kah?,Netral,Pertanyaan
apakah ini yang asli kan?,Netral,Pertanyaan
Kak echi ame nya mana kak?,Netral,Pertanyaan
Kak mau nanya kalo mau jadi vtuber bayar karakter yg bagus berapa ya?,Netral,Pertanyaan
Kak kalo live streaming kapan kak,Netral,Pertanyaan
Kak tutorial jadi subscriber kakak gimana,Netral,Pertanyaan
untuk video nya memakai karakter yg di buat sendiri ya?,Netral,Pertanyaan
di channel nya siapa moona cover nya?,Netral,Pertanyaan
Min masih buka gak pendaftarannya?,Netral,Pertanyaan
Wait sena umur 12 kok bisa?,Netral,Pertanyaan
nanti debutnya bareng yang kuning kah?,Netral,Pertanyaan
Chloe ikut debut gen 4 kah??,Netral,Pertanyaan
detik ke 18 itu talent baru kah yang di tengah?,Netral,Pertanyaan
Karakter nya di sediakan kah??,Netral,Pertanyaan
Ini celananya yg kebesaran apa orangnya yg kekecilan?,Netral,Pertanyaan
pengumuman nya tanggal berapa?,Netral,Pertanyaan
Ada yang mau bikin group? ,Netral,Pertanyaan
Kata siapa kalau sena ikan?,Netral,Pertanyaan
apakah Zeta orang sunda ya?,Netral,Pertanyaan
Kata siapa kamu orang pertama?,Netral,Pertanyaan
Zetanya dijual terpisah ga admin?,Netral,Pertanyaan
itu kucing atau cat?,Netral,Pertanyaan
tutor bisa cepet belajar bahasa asing gimana?,Netral,Pertanyaan
Apa makanan Jepang Indonesia dan Bali favorit kakak? Yang menjadi rekomendasi buat para para brand ambassador?,Netral,Pertanyaan
siapa di sini yang sudah tau ini pasti bohongan dan tetap nonton,Netral,Pertanyaan
